xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
468,NA,2013,990PF,NA,NA,NA,222975012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417894,NA,NA,NA,NA,NA
470,Northeastern Baptist College Inc,2019,990,104 Kocher Drive,Bennington,www.nebcvt.org,271975049,2010,"NEBC's mission is to impact the Northeast, the United States, and the world by training students to have The Mind of a Scholar, The Heart of a Shepherd, and The Perseverance of a Soldier through the provision of a college education with a biblical foundation and a distinctive blend of academic excellence and practical mentoring.",NA,29,100,1322825,1102856,219969,2584774,1102856,981950,2038045,4235,2033810,907880,2143633,439010
472,ORANGE COUNTY MAPLE PRODUCERS,2019,990EZ,3160 SOUTH HILL ROAD,WILLIAMSTOWN,N/A,030347129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87825,NA,NA,NA
481,THE ROWLAND FOUNDATION INC,2018,990PF,PO BOX 88,SOUTH LONDONDERRY,NA,262698626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21191245,1611,NA,NA,NA,NA
482,RURAL EDUCATION ACTION PROJECT,2019,990,46 EAST STATE STREET,MONTPELIER,WWW.RURALVERMONT.ORG,223045871,1990,"SINCE 1990 THE RURAL EDUCATION ACTION PROJECT (DBA RURAL VERMONT) HAS BEEN COMMITTED TO EDUCATING, ORGANIZING AND ADVOCATING FOR VERMONT'S FAMILY FARMS AND RURAL COMMUNITIES.",COCO MOSELEY,NA,60,255339,195250,60089,265223,195250,19396,142656,4070,138586,153887,254502,10721
483,RUTLAND FREE LIBRARY ASSOCIATION INC,2019,990,10 COURT ST,RUTLAND,WWW.RUTLANDFREE.ORG,030181060,1952,NA,SHARON COURCELLE,21,50,1289777,1141597,148180,1362113,1141597,226244,6279407,NA,NA,861792,985705,22465
484,RUTLAND REGION EDUCATION CORP,2018,990,PO BOX 6015,RUTLAND,WWW.RRWIB.ORG,030353236,1995,"THE RRWIBS MISSION IS TO ENSURE THAT RUTLAND COUNTYS ENTIRE WORKFORCE SYSTEM MEETS EMPLOYERS NEEDS FOR SKILLED WORKERS AND WORKERS NEEDS FOR CAREER, ECONOMIC AND EDUCATIONAL ADVANCEMENT.",TERESA MIELE,NA,25,157901,135057,22844,146320,135057,-45078,65485,42341,23144,64814,146320,NA
486,SAXTONS RIVER MONTESSORI SCHOOL INC,2018,990EZ,PO BOX 98 14 WESTMINSTER ST,SAXTONS RIVER,WWW.SRMONTESSORI.ORG,030329812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48340,NA,NA,NA
487,SHELBURNE CRAFT SCHOOL INC,2018,990,PO BOX 52,SHELBURNE,WWW.THESHELBURNECRAFTSCHOOL.ORG,030181065,1945,NA,CLAIRE E GEAR,19,10,312861,312866,-5,294704,312866,-3379,155377,NA,NA,191837,52514,233022
488,SOUTHSHIRE COMMUNITY SCHOOL,2018,990,PO BOX 865,NORTH BENNINGTON,www.southshire.org,030311104,1987,EDUCATE CHILDREN IN GRADES K - 8.,NA,NA,NA,257147,285969,-28822,218679,285969,-47012,237420,70467,166953,181187,4787,191192
492,SUSTAINABLE HEATING OUTREACH,2018,990PF,3689 VERMONT ROUTE 14,EAST CALAIS,NA,815474983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2641,20320,NA,NA,NA,NA
494,THE BELLWETHER SCHOOL,2018,990,1186 SOUTH BROWNELL ROAD,WILLISTON,WWW.BELLWETHERSCHOOL.ORG,030345357,1984,EDUCATIONAL - ELEMENTARY AND PRESCHOOL,LINDSEY DESROCHERS,12,NA,516823,504885,11938,595190,504885,241,184829,257070,-72241,379271,93743,501447
495,THE CENTER FOR CARTOON STUDIES,2018,990,PO BOX 125,WHITE RIVER JUNCTION,NA,412071791,2002,NA,MICHELLE OLLIE,11,22,1081399,1026863,54536,1078772,1026863,33341,2004171,156315,NA,441905,148438,936133
500,UNIVERSITY OF VERMONT AND STATE AGRICULTURAL,2018,990,411 MAIN STREET,BURLINGTON,WWW.UVMFOUNDATION.ORG,451556038,2011,NA,SHANE JACOBSON PRESCEO,156,6055,58053697,33773937,24279760,53286279,33773937,6431565,196994255,13958269,183035986,8987122,40996621,9915431
501,Unleashing the Power of Partnership for Learning Inc,2018,990,155 Elm Street,Montpelier,www.upforlearning.org,472894356,2015,NA,Jan Westervelt,NA,NA,489301,514776,-25475,445412,514776,-121824,332067,272744,59323,410826,225801,219070
502,UPPER VALLEY WALDORF SCHOOL,2018,990,PO BOX 709,QUECHEE,WWW.UVWS.ORG,030312346,1987,NA,JULIE THOM,55,190,2306660,2283775,22885,2136828,2283775,-85475,4303191,912400,NA,1270397,246342,1886883
504,VERMONT ACHIEVEMENT CENTER INC,2018,990,88 PARK STREET,RUTLAND,www.vacvt.org,030179407,1944,Building Positive Life Skills to Prepare Children and Families for Success,NA,141,NA,4330962,4220610,110352,4460653,4220610,340717,1718815,738711,980104,3195913,2008057,2452596
506,NA,NA,NA,NA,NA,NA,030340584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,Vermont Ethics Network Inc,2018,990,61 Elm Street,Montpelier,www.vtethicsnetwork.org,030336174,1986,Provide ethical consideration information.,Cindy Bruzzese,NA,NA,449934,425537,24397,397640,425537,-39787,67576,34392,33184,166679,319931,71630
512,Vermont Law School,2018,990,PO Box 96,South Royalton,www.vermontlaw.edu,237251952,1973,NA,Lorraine Atwood,441,180,31794398,35247693,-3453295,35074956,35247693,2104738,44659406,23094958,NA,12535702,3847829,30389537
514,VERMONT NURSES IN PARTNERSHIP INC,2018,990EZ,PO BOX 416,ASCUTNEY,WWW.VNIP.ORG,208940523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47396,NA,NA,NA
515,NA,2017,NA,NA,Burlington,www.vtprc.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4794,NA,NA,NA
519,Vermont Sheriffs Association Inc,2018,990EZ,PO Box 4466,Bennington,N/A,030298060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34257,NA,NA,NA
522,Vermont Troopers Foundation Inc,2018,990EZ,PO Box 1474,Montpelier,www.vermonttroopersfoundation.com,822365718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7344,NA,NA,NA
525,VT-HEC INC,2018,990,2084 LIGHTENING RIDGE ROAD,ADAMANT,www.vthec.org,273343277,2009,NA,DENNIS KANE,54,NA,1257324,1147399,109925,1540627,1147399,91202,990368,86540,903828,696832,10000,1525152
530,WholeHeart Inc,2018,990,88 High Meadow Lane,Richmond,N/A,464300314,2013,To develop and facilitate reflective leadership practices for organizations and individuals.,Holly Wilkinson,NA,18,151982,157061,-5079,247697,157061,10504,54544,17156,37388,154367,123166,124529
531,Wood Memorial Library Tr UA,2017,990PF,80 Loeffler Road,Bloomfield,NA,066167846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766339,8319,NA,NA,NA,NA
535,ALDRICH PUBLIC LIBRARY,2018,990,6 WASHINGTON STREET,BARRE,WWW.ALDRICHPUBLICLIBRARY.ORG,030179303,1898,"THE ALDRICH PUBLIC LIBRARY INSPIRES THE JOY OF READING, PROMOTES LIFELONG LEARNING, AND STRENGHTHENS COMMUNITY. THE LIBRARY SERVES THE RESIDENTS OF BARRE CITY AND BARRE TOWN AND WELCOMES ALL OTHERS.",LOREN POLK,20,NA,682673,665830,16843,851442,665830,227872,4564975,145355,4419620,405225,805194,6253
537,Applied Mindfulness Training Inc,2014,990EZ,PO Box 7,Barnet,www.appliedmindfulnesstraining.com,203858529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5166,NA,NA,NA
538,NA,2017,NA,NA,Sharon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517,NA,NA,NA
539,ARTS BUS INC,2019,990EZ,67 N MAIN ST,RANDOLPH,WWW.ARTSBUSVT.ORG,454078211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28460,NA,NA,NA
543,Black River Independent School Committee,2019,990EZ,512 Rod and Gun Club Road,Ludlow,blackriveris.org,824733905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71769,NA,NA,NA
547,BRANDON FREE PUBLIC LIBRARY,2019,990,35 PARK STREET,Brandon,WWW.BRANDONPUBLICLIBRARY.ORG,030181053,1890,"THE ORGANIZATION OPERATES A PUBLIC LIBRARY FOR THE BENEFIT OF THE RESIDENTS OF THE BRANDON, VERMONT AND SURROUNDING COMMUNITIES.",JUNE BOHLER,NA,NA,194809,204463,-9654,179842,204463,1886,1635104,NA,1635104,113788,147119,236
567,NA,NA,NA,NA,NA,NA,272277523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576,Good Steward Foundation of Morrisville Vermont,2017,990,680 Laporte Rd,Morrisville,www.bjams.org,203580873,NA,To operate for the benefit and support of the non-profit school Bishop John A. Marshall School.,CARRIE WILSON,NA,NA,111943,196510,-84567,-3530,196510,-114409,2119519,NA,2119519,NA,NA,NA
577,NA,NA,NA,NA,NA,NA,481283413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,Hartland Cooperative Nursery School,2018,990EZ,PO Box 97,Hartland,www.hcnsvt.org,030260839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57207,NA,NA,NA
581,Home Away From Home Preschool and Child,2019,990,108 Equinox Terrace,Manchester Center,N/A,030351564,1996,Community preschool and child care facility.,NA,11,NA,218174,194719,23455,234031,194719,23413,74241,NA,74241,161293,8129,225902
583,IN-SIGHT PHOTOGRAPHY PROJECT INC,2018,990,183 MAIN STREET,BRATTLEBORO,WWW.INSIGHT-PHOTOGRAPHY.ORG,030338482,1998,"EMPOWERING YOUTH THROUGH PHOTOGRAPHY TO FIND THEIR OWN CREATIVE VOICE AND TO COMMUNICATE THEIR UNIQUE PERSONAL VISIONS. CLASSES IN PHOTOGRAPHIC ARTS ARE PROVIDED REGARDLESS OF ABILITY TO PAY. CURRICULUM IS GUIDED BY UNDERSTANDING AND RESPECT FOR INDIVIDUALS, COMMUNITIES, AND CULTURES.",ILENE TODD,14,NA,284002,211663,72339,597806,211663,325392,546810,44423,502387,144890,538000,8379
585,INTERNATIONAL CENTER FOR CAPTIVE,2018,990,2517 SHELBURNE ROAD SUITE 2,SHELBURNE,WWW.ICCIE.ORG,200047555,2003,TO BE THE PREMIER PROVIDER OF CAPTIVE INSURANCE EDUCATION AND TO OFFER THE PREEMINENT PROFESSIONAL DESIGNATION IN CAPTIVE INSURANCE.,MITCH CANTOR,NA,46,360734,408215,-47481,374363,408215,-5979,205561,86819,118742,274124,62884,307753
591,NA,NA,NA,NA,NA,NA,141907061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
594,Knights of Columbus Scholastic Achievement Fund,2017,990PF,46 Edinborough Dr,Burlington,NA,030353433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61812,5000,NA,NA,NA,NA
595,LAKE CHAMPLAIN COMMUNITY SAILING,2019,990,PO BOX 64818,BURLINGTON,WWW.COMMUNITYSAILINGCENTER.ORG,030342594,1994,"THE LAKE CHAMPLAIN COMMUNITY SAILING CENTER (CSC) ENCOURAGES AND CELEBRATES THE RESPONSIBLE USE AND LONG-TERM STEWARDSHIP OF LAKE CHAMPLAIN BY FOSTERING EDUCATIONAL AND RECREATIONAL OPPORTUNITIES FOR ALL MEMBERS OF OUR COMMUNITY. THE CSC IS COMMITTED TO ELIMINATING BARRIERS THAT PREVENT ACCESS TO LAKE CHAMPLAIN, OFFERS EXPERIENTIAL EDUCATION FOR WHICH COURAGE AND LEADERSHIP SKILLS CAN BE DEVELOPED AND PROVIDES AN INCLUSIVE ENVIRONMENT FOR ALL PEOPLE TO LEARN SAILING AND PADDLING.",OWEN MILNE,47,70,780498,1202484,-421986,1272488,1202484,-2374,5335559,1569892,3765667,512022,702172,564562
597,NA,NA,NA,NA,NA,NA,030353977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600,LYNDON INSTITUTE INC,2018,990,168 INSTITUTE CIRCLE,LYNDON CENTER,WWW.LYNDONINSTITUTE.ORG,030182055,1923,NA,TWILADAWN PERRY,189,35,16394726,15104756,1289970,13854230,15104756,-192055,22510202,9788709,NA,7378449,804503,12483128
602,MAD RIVER VALLEY CRICKET CLUB SCHOLARSHI,2014,990EZ,PO BOX 1246,WAITSFIELD,N/A,030346417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3144,NA,NA,NA
603,Magic Garden Waldorf School Inc,2017,990EZ,4303 Town Hill Road,Wolcott,www.magicgardenwaldorf.org,800275669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70692,NA,NA,NA
604,MAGIC HOUSE INC,2019,990EZ,705 TURKEY HILL ROAD,NORTHFIELD,CALLANDRESPONSEFOUNDATION.ORG,010758063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9810,NA,NA,NA
607,NA,2019,NA,PO Box 165,Marlboro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103191,NA,NA,NA
608,Mobius Inc,2017,990,19 Marble Ave,Burlington,www.mobiusmentors.org,020658483,2003,"Mission: to provide resources and support to youth mentoring programs in Vermont so they can meet the needs of young people in their communities.Vision: Every young person in Vermont has the supportive mentoring relationships they need to grow and develop into thriving, productive, and engaged adults.",Chad Butt,NA,NA,545506,517569,27937,555535,517569,24257,129019,11933,117086,139132,513803,46622
610,MONTESSORI SCHOOL OF CENTRAL VT INC,2018,990,84 PINE HILL ROAD,BARRE,WWW.MSCVT.ORG,030225887,1970,MONTESSORI BASED EDUCATION,KRISTEN MARTIN,16,NA,595331,615663,-20332,618391,615663,-8707,1894998,1416007,478991,454768,18899,585887
611,MONTEVERDI MUSIC SCHOOL INC,2016,990EZ,46 BARRE ST,MONTPLIER,N/A,030343546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59693,NA,NA,NA
614,MORRISTOWN CENTENNIAL LIBRARY ASSOC,2018,990,PO BOX 727,MORRISVILLE,CENTENNIALLIBRARY.ORG,030179589,1891,"MORRISTOWN CENTENNIAL LIBRARY ASSOCIATION PROVIDES A FREE PUBLIC LIBRARY FOR ALL RESIDENTS OF MORRISTOWN, VERMONT.",MEREDITH MCGEE,NA,20,302935,284397,18538,376306,284397,88187,1727016,4840,1722176,187162,169438,5901
616,MUSIC COMPOSITION ONLINE MENTORING PROGRAM INC,2018,990EZ,30 STEEPLEBUSH RD,ESSEX JUNCTION,NA,030364597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3560,NA,NA,NA
