xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
231,CENTER FOR AMERICAS FIRST HORSE,2019,990,PO BOX 31,JOHNSON,NA,272411065,2011,"YEAR ROUND NATURAL HORSEMANSHIP EDUCATION, TRAINING, BOARDING, LESSONS, NATURAL HORSEMANSHIP FOR CHILDREN PROGRAMS, SUMMER SESSIONS, ON AND OFF SITE NATURAL HORSEMANSHIP CLINICS, EDUCATIONSL TOURS, VOLUNTEER.",NA,NA,NA,79853,85640,-5787,65466,85640,9941,190812,157344,33468,9125,34170,31296
232,Center For Sustainable Organizations Inc,2019,990EZ,PO Box 705,Woodstock,www.sustainableorganizations.org,202020870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17926,NA,NA,NA
233,CENTER FOR WHOLE COMMUNITIES INC,2018,990,PO BOX 5483,BURLINGTON,www.wholecommunities.org,510462232,2003,Center for Whole Communities exists to cultivate transformative leadership that weaves together and strengthens movements for justice and the environment.,VIRGINIA MCGINN,NA,NA,581486,601232,-19746,736574,601232,60600,269512,15444,254068,316897,299697,433903
234,Champlain Valley Pug Rescue,2015,990EZ,993 Hinesburg Road,Charlotte,N/A,261862470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5602,NA,NA,NA
239,Eddy Farm School For Horse and Rider Corporation,2019,990,1815 South Street Extension,Middlebury,www.eddyfarmschool.com,030360517,1998,The Eddy Farm School For Horse &amp; Rider Corporation's Mission is to teach traditional horsemanship skills and promote amateur athletic competition,Abigail Schnoor,NA,50,126191,116905,9286,128206,116905,-8350,701342,NA,701342,NA,8486,108391
243,THE FEDERATION FUND FOR CONSERVATION AND TRAINING,2019,990,14 STAFFORD AVE,MORRISVILLE,N/A,030358290,1997,"THE ORGANIZATION TEACHES THE GENERL PUBLIC, CONSERVATION, OUTDOOR SURVIVAL, AND PROPER HANDLING OF FIREARMS",ROY MARBLE,NA,NA,52167,20454,31713,37418,20454,26929,400564,NA,400564,NA,4225,NA
245,FOUR WINDS NATURE INSTITUTE INC,2019,990,4 CASEY RD,CHITTENDEN,WWW.FOURWINDSINSTITUTE.ORG,205139630,2006,"Four Winds Nature Institute, Inc. advances the understanding, appreciation and protection of the environment through community-based natural science education and research. Four Winds staff members are educators and scientists dedicated to helping children and adults gain the background knowledge and science skills needed to understand the world around them and the problem-solving and citizenship skills needed to protect it. In choosing and developing programs, Four Winds is committed to those that address the following goals: (1) programs that increase people's knowledge of the natural world through direct observation, hands-on learning activities, and rich outdoor experiences; (2) programs that improve science literacy (content and skills) by encouraging people to explore their local environment; (3) programs that connect a broad and diverse audience of people to the natural world on an ongoing and meaningful basis; and (4) programs that provide people with the critical thinking, pro",Lisa Purcell,11,1241,279283,303394,-24111,297121,303394,14967,225796,74056,151740,213896,115466,180801
250,Gerdas Equine Rescue Inc,2018,990,P O Box 1352,West Townshend,www.gerdasequinerescue.org,593800477,2005,"Conduct programs that (1) rescue and rehabilitate animals (primarily horses), (2) promote and facilitate animal adoption and (3) operate a facility where the program mission is accomplished.",Gerda Silver,NA,18,196278,195947,331,236998,195947,-21124,44489,12952,31537,15512,182724,54274
251,Green Mountain Conservancy Incorporated,2016,990EZ,35 Frost Street,Brattleboro,www.greenmountainconservancy.org,270296118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306549,NA,NA,NA
252,GREEN MOUNTAIN PUG RESCUE,2018,990,283 TOWN LINE RD,Mendon,N/A,460475635,NA,TO PROVIDE CARE AND HOME PLACEMENT TO THE ABANDONED AND ABUSED BREED OF PUGS,KELLI MAZZELLA,NA,NA,69781,72132,-2351,76281,72132,589,40705,NA,40705,NA,57725,18550
