xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
447,NEXT STAGE ARTS PROJECT INCORPORATED,2019,990,PO BOX 251,PUTNEY,WWW.NEXTSTAGEARTS.ORG,452157212,NA,"Next Stage Arts Project is a non-profit organization dedicated to helping art happenthrough the programming, development and operation of the Next Stage theater, a newly renovated performing arts facility in Putney, Vermont. We celebrate the diversity of artistic expression by fostering a collaborative environment for audiences, performers, and community based arts and educational organizations, and we are committed to enhancing the village of Putney as a cultural center.",JIM JOHNSON,NA,53,220942,301496,-80554,253813,301496,-47715,1369569,42113,1327456,123194,135139,94592
449,Northeast Kingdom Arts Council Inc,2018,990,PO Box 476,Hardwick,www.hardwicktownhouse.org,030371888,2001,The mission of the Northeast Kingdom Arts Council is to preserve the historic Hardwick Town House while making it a dynamic center of arts and culture for the region through educational and entertaining programming,Tess Martin,NA,30,51014,49696,1318,18981,49696,1970,71162,NA,71162,NA,2305,5864
450,Northeast Organic Farming Association of Vermont Inc,2018,990,PO Box 697,Richmond,www.nofavt.org,223260420,1971,"Northeast Organic Farming Association of Vermont works with farmers, gardeners and consumers to promote an economically viable and ecologically sound Vermont food system. Our vision consists of small farms and agriculturally based businesses",Andrew Knafel,27,165,2537876,2470499,67377,2563947,2470499,19821,3735587,264222,3471365,1195170,1220201,1100587
452,OLDCASTLE PRODUCTIONS INC,2019,990,PO BOX 1555,BENNINGTON,OLDCASTLETHEATRE.ORG,237288883,1973,NA,THOMAS LENKOWSKI,38,50,570987,391535,179452,424219,391535,48989,434288,NA,NA,221615,313567,92674
453,OPERA THEATRE OF WESTON INC,2014,990EZ,100 DALE ROAD,WESTON,N/A,030366317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30891,NA,NA,NA
454,ORLEANS COUNTY HISTORICAL SOCIETY,2018,990,109 OLD STONE HOUSE ROAD,BROWNINGTON,WWW.OLDSTONEHOUSEMUSEUM.ORG,036010727,1916,"THE MISSION OF THE ORLEANS COUNTY HISTORICAL SOCIETY IS TO SHARE OUR UNIQUE HISTORY THROUGH PRESERVATION, EDUCATION, AND INSPIRATION.",MOLLEY VEYSEY,NA,60,529539,447826,81713,508844,447826,-50219,2575933,212371,2363562,91830,137530,100361
456,Preservation Trust of Vermont Inc,2018,990,104 Church Street,Burlington,www.ptvermont.org,030281195,1980,"To initiate, stimulate, and assist local and statewide efforts to preserve and use Vermont's rich collection of historic, architectural, cultural, and community resources.",Elizabeth M Gamache,NA,30,1881352,1701557,179795,1869734,1701557,-385419,9046034,298502,8747532,416526,1556511,73686
459,PURPLE CRAYON PRODUCTIONS INC,2018,990PF,C/O RICHARD BACCARI PO BOX 1014,YORKTOWN HEIGHTS,NA,550886480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,NA,NA,NA,NA,NA,NA,830483990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,River Gallery School Inc,2019,990,32 Main Street,Brattleboro,www.rivergalleryschool.org,030282269,1976,Art education,William Penniman,23,125,397229,398521,-1292,434562,398521,7134,123937,31827,92110,226616,197930,232867
